Exe2-ConfThread1,Exe3-ConfThread1,Exe4-ConfThread1,Exe1-ConfThread1,Exe0-ConfThread1,q1,q3,mean,median,mode,min,max,sstdev
-157.000000,-135.000000,-189.000000,-146.000000,-128.000000,-157.00,-135.00,-151.00,-146.00,-189.00,-189.00,-128.00,23.93
-157.000000,-135.000000,-189.000000,-146.000000,-128.000000,-157.00,-135.00,-151.00,-146.00,-189.00,-189.00,-128.00,23.93
-157.000000,-135.000000,-189.000000,-146.000000,-128.000000,-157.00,-135.00,-151.00,-146.00,-189.00,-189.00,-128.00,23.93
-154.000000,-135.000000,-189.000000,-146.000000,-128.000000,-154.00,-135.00,-150.40,-146.00,-189.00,-189.00,-128.00,23.78
-128.000000,-135.000000,-189.000000,-146.000000,-128.000000,-146.00,-128.00,-145.20,-135.00,-128.00,-189.00,-128.00,25.57
-128.000000,-135.000000,-189.000000,-146.000000,-128.000000,-146.00,-128.00,-145.20,-135.00,-128.00,-189.00,-128.00,25.57
-128.000000,-135.000000,-189.000000,-146.000000,-128.000000,-146.00,-128.00,-145.20,-135.00,-128.00,-189.00,-128.00,25.57
-128.000000,-133.000000,-189.000000,-146.000000,-128.000000,-146.00,-128.00,-144.80,-133.00,-128.00,-189.00,-128.00,25.78
-128.000000,-133.000000,-189.000000,-146.000000,-128.000000,-146.00,-128.00,-144.80,-133.00,-128.00,-189.00,-128.00,25.78
-128.000000,-133.000000,-189.000000,-146.000000,-128.000000,-146.00,-128.00,-144.80,-133.00,-128.00,-189.00,-128.00,25.78
-128.000000,-133.000000,-189.000000,-146.000000,-128.000000,-146.00,-128.00,-144.80,-133.00,-128.00,-189.00,-128.00,25.78
-128.000000,-133.000000,-189.000000,-133.000000,-128.000000,-133.00,-128.00,-142.20,-133.00,-133.00,-189.00,-128.00,26.28
-128.000000,-133.000000,-189.000000,-133.000000,-128.000000,-133.00,-128.00,-142.20,-133.00,-133.00,-189.00,-128.00,26.28
-126.000000,-133.000000,-189.000000,-133.000000,-128.000000,-133.00,-128.00,-141.80,-133.00,-133.00,-189.00,-126.00,26.57
-124.000000,-133.000000,-189.000000,-133.000000,-128.000000,-133.00,-128.00,-141.40,-133.00,-133.00,-189.00,-124.00,26.88
-124.000000,-133.000000,-189.000000,-133.000000,-128.000000,-133.00,-128.00,-141.40,-133.00,-133.00,-189.00,-124.00,26.88
-123.000000,-133.000000,-189.000000,-133.000000,-128.000000,-133.00,-128.00,-141.20,-133.00,-133.00,-189.00,-123.00,27.04
-123.000000,-133.000000,-189.000000,-133.000000,-129.000000,-133.00,-129.00,-141.40,-133.00,-133.00,-189.00,-123.00,26.92
-201.50,-161.00,-197.00,-149.00,-133.25,-197.00,-149.00,-168.35,-161.00,-201.50,-201.50,-133.25,29.92
-157.00,-149.50,-189.00,-146.00,-128.00,-157.00,-146.00,-153.90,-149.50,-189.00,-189.00,-128.00,22.33
-188.28,-154.83,-191.90,-159.80,-141.24,-188.28,-154.83,-167.21,-159.80,-191.90,-191.90,-141.24,22.00
-159.50,-160.00,-191.00,-147.00,-129.50,-160.00,-147.00,-157.40,-159.50,-191.00,-191.00,-129.50,22.51
-159.00,-161.00,-189.00,-146.00,-128.00,-161.00,-146.00,-156.60,-159.00,-189.00,-189.00,-128.00,22.39
-644.00,-223.00,-457.00,-221.00,-379.00,-457.00,-223.00,-384.80,-379.00,-644.00,-644.00,-221.00,177.09
-123.00,-133.00,-128.00,-133.00,-128.00,-133.00,-128.00,-129.00,-128.00,-133.00,-133.00,-123.00,4.18
86.33,14.06,56.72,28.15,37.12,28.15,56.72,44.48,37.12,14.06,14.06,86.33,28.05
