Exe2-ConfThread1,Exe3-ConfThread1,Exe4-ConfThread1,Exe1-ConfThread1,Exe0-ConfThread1,q1,q3,mean,median,mode,min,max,sstdev
-106.000000,-109.000000,-107.000000,-114.000000,-114.000000,-114.00,-107.00,-110.00,-109.00,-114.00,-114.00,-106.00,3.81
-106.000000,-109.000000,-107.000000,-114.000000,-114.000000,-114.00,-107.00,-110.00,-109.00,-114.00,-114.00,-106.00,3.81
-106.000000,-109.000000,-107.000000,-111.000000,-114.000000,-111.00,-107.00,-109.40,-109.00,-114.00,-114.00,-106.00,3.21
-106.000000,-109.000000,-107.000000,-113.000000,-114.000000,-113.00,-107.00,-109.80,-109.00,-114.00,-114.00,-106.00,3.56
-106.000000,-109.000000,-107.000000,-113.000000,-114.000000,-113.00,-107.00,-109.80,-109.00,-114.00,-114.00,-106.00,3.56
-106.000000,-109.000000,-107.000000,-113.000000,-114.000000,-113.00,-107.00,-109.80,-109.00,-114.00,-114.00,-106.00,3.56
-124.00,-117.00,-119.50,-134.00,-153.25,-134.00,-119.50,-129.55,-124.00,-153.25,-153.25,-117.00,14.75
-109.00,-113.00,-108.00,-113.00,-116.00,-113.00,-109.00,-111.80,-113.00,-113.00,-116.00,-108.00,3.27
-127.33,-141.85,-150.65,-140.34,-144.10,-144.10,-140.34,-140.85,-141.85,-150.65,-150.65,-127.33,8.52
-117.00,-117.00,-112.00,-132.00,-121.00,-121.00,-117.00,-119.80,-117.00,-117.00,-132.00,-112.00,7.53
-124.00,-117.00,-107.00,-132.00,-116.00,-124.00,-116.00,-119.20,-117.00,-132.00,-132.00,-107.00,9.36
-1001.00,-1001.00,-1001.00,-1001.00,-377.00,-1001.00,-1001.00,-876.20,-1001.00,-1001.00,-1001.00,-377.00,279.06
-106.00,-109.00,-107.00,-110.00,-114.00,-110.00,-107.00,-109.20,-109.00,-114.00,-114.00,-106.00,3.11
93.49,132.30,134.11,107.88,52.28,93.49,132.30,104.01,107.88,52.28,52.28,134.11,33.57
